date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:15:26	548/548	---M--	200	added ('OK')	text/plain	etag:W/%2267415f00-224%22	https://laverne.edu/robots.txt		(from )
15:15:26	101320/101320	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202024%2023:15:26%20GMT	https://laverne.edu/	C:/My%20Web%20Sites/La%20Verne/laverne.edu/index.html	(from )
15:15:26	1437/1437	---M--	200	added ('OK')	image/png	etag:%2267415f03-59d%22	https://laverne.edu/wp-content/themes/laverne2017/img/favicon-32.png	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/favicon-32.png	(from https://laverne.edu/)
15:15:26	1800/1800	---M--	200	added ('OK')	image/png	etag:%2267415f06-708%22	https://laverne.edu/wp-content/themes/laverne2017/img/favicon-57.png	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/favicon-57.png	(from https://laverne.edu/)
15:15:27	2041/2041	---M--	200	added ('OK')	image/png	etag:%2267415f09-7f9%22	https://laverne.edu/wp-content/themes/laverne2017/img/favicon-76.png	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/favicon-76.png	(from https://laverne.edu/)
15:15:27	2358/2358	---M--	200	added ('OK')	image/png	etag:%2267415f06-936%22	https://laverne.edu/wp-content/themes/laverne2017/img/favicon-96.png	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/favicon-96.png	(from https://laverne.edu/)
15:15:27	2845/2845	---M--	200	added ('OK')	image/png	etag:%2267415f09-b1d%22	https://laverne.edu/wp-content/themes/laverne2017/img/favicon-128.png	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/favicon-128.png	(from https://laverne.edu/)
15:15:27	3805/3805	---M--	200	added ('OK')	image/png	etag:%2267415f03-edd%22	https://laverne.edu/wp-content/themes/laverne2017/img/favicon-192.png	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/favicon-192.png	(from https://laverne.edu/)
15:15:28	3764/3764	---M--	200	added ('OK')	image/png	etag:%2267415f03-eb4%22	https://laverne.edu/wp-content/themes/laverne2017/img/favicon-195.png	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/favicon-195.png	(from https://laverne.edu/)
15:15:28	4154/4154	---M--	200	added ('OK')	image/png	etag:%2267415f06-103a%22	https://laverne.edu/wp-content/themes/laverne2017/img/favicon-228.png	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/favicon-228.png	(from https://laverne.edu/)
15:15:28	34494/34494	---M-Z	200	added ('OK')	image/x-icon	etag:%2267415f06-86be%22	https://laverne.edu/wp-content/themes/laverne2017/img/favicon.ico	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/favicon.ico	(from https://laverne.edu/)
15:15:28	3691/3691	---M--	200	added ('OK')	image/png	etag:%2267415f09-e6b%22	https://laverne.edu/wp-content/themes/laverne2017/img/favicon-196.png	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/favicon-196.png	(from https://laverne.edu/)
15:15:28	2630/2630	---M--	200	added ('OK')	image/png	etag:%2267415f03-a46%22	https://laverne.edu/wp-content/themes/laverne2017/img/favicon-120.png	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/favicon-120.png	(from https://laverne.edu/)
15:15:29	3126/3126	---M--	200	added ('OK')	image/png	etag:%2267415f09-c36%22	https://laverne.edu/wp-content/themes/laverne2017/img/favicon-152.png	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/favicon-152.png	(from https://laverne.edu/)
15:15:29	3448/3448	---M--	200	added ('OK')	image/png	etag:%226743f58b-d78%22	https://laverne.edu/wp-content/themes/laverne2017/img/favicon-180.png	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/favicon-180.png	(from https://laverne.edu/)
15:15:29	3013/3013	---M--	200	added ('OK')	image/png	etag:%2267415f03-bc5%22	https://laverne.edu/wp-content/themes/laverne2017/img/favicon-144.png	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/favicon-144.png	(from https://laverne.edu/)
15:15:29	396/396	---M-Z	200	added ('OK')	text/xml	etag:W/%2267458194-18c%22	https://laverne.edu/wp-content/themes/laverne2017/img/ieconfig.xml	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/themes/laverne2017/img/ieconfig.xml	(from https://laverne.edu/)
15:15:29	75641/75641	---M--	200	added ('OK')	image/jpeg	etag:%2261418634-12779%22	https://laverne.edu/wp-content/uploads/2018/04/ULaVerne-Sunset.jpg	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/uploads/2018/04/ULaVerne-Sunset.jpg	(from https://laverne.edu/)
15:15:30	655/655	---M-Z	200	added ('OK')	text/css	etag:W/%2267415f06-28f%22	https://laverne.edu/wp-content/plugins/events-calendar-pro/src/resources/css/tribe-events-pro-mini-calendar-block.min.css?ver=7.0.3	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/plugins/events-calendar-pro/src/resources/css/tribe-events-pro-mini-calendar-block.minbf7d.css	(from https://laverne.edu/)
15:15:30	1068/1068	---M--	200	added ('OK')	application/rss+xml	etag:%22e79c48e98ef6cb58300ef3efb1589558%22	https://laverne.edu/feed/	C:/My%20Web%20Sites/La%20Verne/laverne.edu/feed/index.html	(from https://laverne.edu/)
15:15:30	112419/112419	---M-Z	200	added ('OK')	text/css	etag:W/%2267415f06-1b723%22	https://laverne.edu/wp-includes/css/dist/block-library/style.min.css?ver=15641fb7b8ff551f708c18e066c07e4c	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-includes/css/dist/block-library/style.min22b2.css	(from https://laverne.edu/)
15:15:30	4958/4958	---MCZ	200	added ('OK')	text/css	etag:W/%22135e-3nthfC1sCV/yhiNebPZMMo2hpL8%22	https://cdn.jsdelivr.net/npm/cookieconsent@3/build/cookieconsent.min.css?ver=1.0.0	C:/My%20Web%20Sites/La%20Verne/cdn.jsdelivr.net/npm/cookieconsent@3/build/cookieconsent.min8a54.css	(from https://laverne.edu/)
15:15:30	81/81	---M-Z	200	added ('OK')	text/css	etag:W/%2267415f03-51%22	https://laverne.edu/wp-content/plugins/ulv_cookie_consent/styles/css/style.css?ver=1.0.0	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/plugins/ulv_cookie_consent/styles/css/style8a54.css	(from https://laverne.edu/)
15:15:31	2562/2562	---M-Z	200	added ('OK')	text/css	etag:W/%2267415f02-a02%22	https://laverne.edu/wp-content/plugins/ulv_courseleaf_connector/css/style.css?ver=1.0.1	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/plugins/ulv_courseleaf_connector/css/stylef269.css	(from https://laverne.edu/)
15:15:31	3713/3713	---M-Z	200	added ('OK')	text/css	etag:W/%2267415f02-e81%22	https://laverne.edu/wp-content/plugins/ulv_cover/css/style.css?ver=2.0.0	C:/My%20Web%20Sites/La%20Verne/laverne.edu/wp-content/plugins/ulv_cover/css/style001e.css	(from https://laverne.edu/)
